USD_Buying,Crude_Oil_Price_LKR,Week,Auction_Number,SARIMAX_Predicted
-0.9999999999999998,-0.5945444705317329,-0.9607843137254903,-1.0,-0.23963705673697855
-0.9995672218128857,-0.6331864653868318,-0.9215686274509804,-0.9600000000000001,-0.7927278123767265
-0.9997836109064426,-0.6472910552221008,-0.8823529411764707,-0.92,-0.8269238186021088
-0.9967336066327581,-0.6773961214833528,-0.8431372549019609,-0.88,-0.8115833524086529
-0.9978123062641393,-0.699195935507931,-0.803921568627451,-0.8400000000000001,-0.8379179768663614
-0.9982440025057853,-0.6969831980846384,-0.7647058823529412,-0.8,-0.8424730175112969
-0.9969489137808472,-0.6772706072028734,-0.7254901960784315,-0.76,-0.8230258186553212
-0.9951139342674846,-0.7181730435308522,-0.6862745098039217,-0.72,-0.7094040435031199
-0.9915500058966025,-0.7342525988597296,-0.6470588235294119,-0.68,-0.6532155107117674
-0.9921970092863375,-0.8562189488810621,-0.607843137254902,-0.64,-0.6869835275990841
-0.9591652141548759,-0.9241807218509782,-0.5686274509803922,-0.6000000000000001,-0.5861828308390147
-0.8486899263303327,-0.9126345280463833,-0.4509803921568628,-0.56,-0.33010727115406535
-0.9011361509357201,-0.9667452919532438,-0.41176470588235303,-0.52,-0.16456393723577167
-0.8890183616965337,-0.8043805301586033,-0.41176470588235303,-0.48,-0.7243111894890908
-0.8666480572046207,-1.0,-0.37254901960784326,-0.44000000000000006,-0.6258786329086892
-0.887096826545748,-0.9710205927073047,-0.3333333333333335,-0.4,-0.701537226130533
-0.9303746452571295,-0.9320140578372897,-0.2941176470588236,-0.36,-0.6950505264323996
-0.9460628545400049,-0.9259640782262365,-0.2941176470588236,-0.32000000000000006,-0.8534283899354342
-0.9445481308851067,-0.8382905568520569,-0.21568627450980404,-0.28,-0.5875424684669759
-0.9590462001534195,-0.8541837462460937,-0.17647058823529416,-0.24,-0.6366726952218946
-0.9552593910161737,-0.816510095031264,-0.13725490196078438,-0.20000000000000007,-0.6844266895808546
-0.9651050947730129,-0.7941024136663252,-0.0980392156862746,-0.16000000000000003,-0.7654773076299917
-0.9573150874049643,-0.8074999270018024,-0.05882352941176483,-0.12,-0.8279680037609056
